,Aryl_halide_name,Aryl_halide_smi,Methylaniline_name,Methylaniline_smi,Additive_name,Additive_smi,Base_name,Base_smi,Pd_catalyst_name,Pd_catalyst_smi,Product_name,Product_smi,rxn,Output,React_sites_H_M,Prod_sites,Pd_site
0,Halide_0,Clc1ccccn1,Methylaniline_0,Cc1ccc(N)cc1,Additive_0,Cc1cc(C)on1,Base_0,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,Pd_0,O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)),Product_0,Cc1ccc(Nc2ccccn2)cc1,Clc1ccccn1.Cc1ccc(N)cc1.O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)).Cc1cc(C)on1.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C>>Cc1ccc(Nc2ccccn2)cc1,70.41045785,"((1,), (5,))","((6,), (5,))",8
1,Halide_1,Brc1ccccn1,Methylaniline_0,Cc1ccc(N)cc1,Additive_1,COC(=O)c1ccno1,Base_0,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,Pd_0,O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)),Product_1,Cc1ccc(Nc2ccccn2)cc1,Brc1ccccn1.Cc1ccc(N)cc1.O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)).COC(=O)c1ccno1.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C>>Cc1ccc(Nc2ccccn2)cc1,11.06445724,"((1,), (5,))","((6,), (5,))",8
2,Halide_2,CCc1ccc(I)cc1,Methylaniline_0,Cc1ccc(N)cc1,Additive_1,COC(=O)c1ccno1,Base_0,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,Pd_1,O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C1CCCCC1)C1CCCCC1)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)),Product_2,CCc1ccc(Nc2ccc(C)cc2)cc1,CCc1ccc(I)cc1.Cc1ccc(N)cc1.O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C1CCCCC1)C1CCCCC1)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)).COC(=O)c1ccno1.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C>>CCc1ccc(Nc2ccc(C)cc2)cc1,10.22354965,"((5,), (5,))","((5,), (6,))",8
3,Halide_3,FC(F)(F)c1ccc(Cl)cc1,Methylaniline_0,Cc1ccc(N)cc1,Additive_2,CCOC(=O)c1cnoc1,Base_1,CN1CCCN2CCCN=C12,Pd_2,O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)),Product_3,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,FC(F)(F)c1ccc(Cl)cc1.Cc1ccc(N)cc1.O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)).CCOC(=O)c1cnoc1.CN1CCCN2CCCN=C12>>Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,20.0833829,"((7,), (5,))","((6,), (5,))",8
4,Halide_4,COc1ccc(Cl)cc1,Methylaniline_0,Cc1ccc(N)cc1,Additive_0,Cc1cc(C)on1,Base_1,CN1CCCN2CCCN=C12,Pd_0,O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)),Product_4,COc1ccc(Nc2ccc(C)cc2)cc1,COc1ccc(Cl)cc1.Cc1ccc(N)cc1.O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)).Cc1cc(C)on1.CN1CCCN2CCCN=C12>>COc1ccc(Nc2ccc(C)cc2)cc1,0.492662711,"((5,), (5,))","((5,), (6,))",8
5,Halide_4,COc1ccc(Cl)cc1,Methylaniline_0,Cc1ccc(N)cc1,Additive_3,CCOC(=O)c1ccon1,Base_2,CN(C)C(=NC(C)(C)C)N(C)C,Pd_3,O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)),Product_5,COc1ccc(Nc2ccc(C)cc2)cc1,COc1ccc(Cl)cc1.Cc1ccc(N)cc1.O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)).CCOC(=O)c1ccon1.CN(C)C(=NC(C)(C)C)N(C)C>>COc1ccc(Nc2ccc(C)cc2)cc1,0.553507484,"((5,), (5,))","((5,), (6,))",8
6,Halide_5,Brc1cccnc1,Methylaniline_0,Cc1ccc(N)cc1,Additive_4,CCOC(=O)c1cnoc1C,Base_1,CN1CCCN2CCCN=C12,Pd_0,O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)),Product_6,Cc1ccc(Nc2cccnc2)cc1,Brc1cccnc1.Cc1ccc(N)cc1.O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)).CCOC(=O)c1cnoc1C.CN1CCCN2CCCN=C12>>Cc1ccc(Nc2cccnc2)cc1,43.17813797,"((1,), (5,))","((6,), (5,))",8
7,Halide_6,Ic1ccccn1,Methylaniline_0,Cc1ccc(N)cc1,Additive_5,Cc1ccon1,Base_1,CN1CCCN2CCCN=C12,Pd_1,O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C1CCCCC1)C1CCCCC1)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)),Product_7,Cc1ccc(Nc2ccccn2)cc1,Ic1ccccn1.Cc1ccc(N)cc1.O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C1CCCCC1)C1CCCCC1)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)).Cc1ccon1.CN1CCCN2CCCN=C12>>Cc1ccc(Nc2ccccn2)cc1,69.51698512,"((1,), (5,))","((6,), (5,))",8
8,Halide_7,CCc1ccc(Br)cc1,Methylaniline_0,Cc1ccc(N)cc1,Additive_3,CCOC(=O)c1ccon1,Base_0,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,Pd_0,O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)),Product_8,CCc1ccc(Nc2ccc(C)cc2)cc1,CCc1ccc(Br)cc1.Cc1ccc(N)cc1.O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)).CCOC(=O)c1ccon1.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C>>CCc1ccc(Nc2ccc(C)cc2)cc1,1.023181291,"((5,), (5,))","((5,), (6,))",8
9,Halide_1,Brc1ccccn1,Methylaniline_0,Cc1ccc(N)cc1,Additive_6,c1ccc(-c2cnoc2)cc1,Base_2,CN(C)C(=NC(C)(C)C)N(C)C,Pd_1,O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C1CCCCC1)C1CCCCC1)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)),Product_9,Cc1ccc(Nc2ccccn2)cc1,Brc1ccccn1.Cc1ccc(N)cc1.O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C1CCCCC1)C1CCCCC1)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)).c1ccc(-c2cnoc2)cc1.CN(C)C(=NC(C)(C)C)N(C)C>>Cc1ccc(Nc2ccccn2)cc1,35.53815083,"((1,), (5,))","((6,), (5,))",8
10,Halide_8,Clc1cccnc1,Methylaniline_0,Cc1ccc(N)cc1,Additive_7,Fc1cccc(F)c1-c1ccno1,Base_0,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,Pd_2,O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)),Product_10,Cc1ccc(Nc2cccnc2)cc1,Clc1cccnc1.Cc1ccc(N)cc1.O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)).Fc1cccc(F)c1-c1ccno1.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C>>Cc1ccc(Nc2cccnc2)cc1,8.50474803,"((1,), (5,))","((6,), (5,))",8
11,Halide_8,Clc1cccnc1,Methylaniline_0,Cc1ccc(N)cc1,Additive_8,c1ccc(-c2ccon2)cc1,Base_0,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,Pd_3,O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)),Product_11,Cc1ccc(Nc2cccnc2)cc1,Clc1cccnc1.Cc1ccc(N)cc1.O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)).c1ccc(-c2ccon2)cc1.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C>>Cc1ccc(Nc2cccnc2)cc1,18.412337,"((1,), (5,))","((6,), (5,))",8
12,Halide_9,CCc1ccc(Cl)cc1,Methylaniline_0,Cc1ccc(N)cc1,Additive_9,COC(=O)c1cc(-c2cccs2)on1,Base_2,CN(C)C(=NC(C)(C)C)N(C)C,Pd_1,O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C1CCCCC1)C1CCCCC1)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)),Product_12,CCc1ccc(Nc2ccc(C)cc2)cc1,CCc1ccc(Cl)cc1.Cc1ccc(N)cc1.O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C1CCCCC1)C1CCCCC1)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)).COC(=O)c1cc(-c2cccs2)on1.CN(C)C(=NC(C)(C)C)N(C)C>>CCc1ccc(Nc2ccc(C)cc2)cc1,1.036456102,"((5,), (5,))","((5,), (6,))",8
13,Halide_9,CCc1ccc(Cl)cc1,Methylaniline_0,Cc1ccc(N)cc1,Additive_10,Cc1cc(-c2ccccc2)on1,Base_1,CN1CCCN2CCCN=C12,Pd_2,O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)),Product_13,CCc1ccc(Nc2ccc(C)cc2)cc1,CCc1ccc(Cl)cc1.Cc1ccc(N)cc1.O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)).Cc1cc(-c2ccccc2)on1.CN1CCCN2CCCN=C12>>CCc1ccc(Nc2ccc(C)cc2)cc1,4.961974313,"((5,), (5,))","((5,), (6,))",8
14,Halide_1,Brc1ccccn1,Methylaniline_0,Cc1ccc(N)cc1,Additive_11,c1ccc(CN(Cc2ccccc2)c2ccon2)cc1,Base_1,CN1CCCN2CCCN=C12,Pd_1,O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C1CCCCC1)C1CCCCC1)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)),Product_14,Cc1ccc(Nc2ccccn2)cc1,Brc1ccccn1.Cc1ccc(N)cc1.O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C1CCCCC1)C1CCCCC1)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)).c1ccc(CN(Cc2ccccc2)c2ccon2)cc1.CN1CCCN2CCCN=C12>>Cc1ccc(Nc2ccccn2)cc1,55.41075316,"((1,), (5,))","((6,), (5,))",8
15,Halide_8,Clc1cccnc1,Methylaniline_0,Cc1ccc(N)cc1,Additive_12,COC(=O)c1cc(-c2ccco2)on1,Base_1,CN1CCCN2CCCN=C12,Pd_3,O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)),Product_15,Cc1ccc(Nc2cccnc2)cc1,Clc1cccnc1.Cc1ccc(N)cc1.O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)).COC(=O)c1cc(-c2ccco2)on1.CN1CCCN2CCCN=C12>>Cc1ccc(Nc2cccnc2)cc1,0.0,"((1,), (5,))","((6,), (5,))",8
16,Halide_10,Ic1cccnc1,Methylaniline_0,Cc1ccc(N)cc1,Additive_4,CCOC(=O)c1cnoc1C,Base_0,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,Pd_0,O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)),Product_16,Cc1ccc(Nc2cccnc2)cc1,Ic1cccnc1.Cc1ccc(N)cc1.O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)).CCOC(=O)c1cnoc1C.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C>>Cc1ccc(Nc2cccnc2)cc1,14.36942688,"((1,), (5,))","((6,), (5,))",8
17,Halide_0,Clc1ccccn1,Methylaniline_0,Cc1ccc(N)cc1,Additive_11,c1ccc(CN(Cc2ccccc2)c2ccon2)cc1,Base_2,CN(C)C(=NC(C)(C)C)N(C)C,Pd_3,O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)),Product_17,Cc1ccc(Nc2ccccn2)cc1,Clc1ccccn1.Cc1ccc(N)cc1.O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)).c1ccc(CN(Cc2ccccc2)c2ccon2)cc1.CN(C)C(=NC(C)(C)C)N(C)C>>Cc1ccc(Nc2ccccn2)cc1,62.39976577,"((1,), (5,))","((6,), (5,))",8
18,Halide_2,CCc1ccc(I)cc1,Methylaniline_0,Cc1ccc(N)cc1,Additive_10,Cc1cc(-c2ccccc2)on1,Base_1,CN1CCCN2CCCN=C12,Pd_0,O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)),Product_18,CCc1ccc(Nc2ccc(C)cc2)cc1,CCc1ccc(I)cc1.Cc1ccc(N)cc1.O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)).Cc1cc(-c2ccccc2)on1.CN1CCCN2CCCN=C12>>CCc1ccc(Nc2ccc(C)cc2)cc1,73.08177999,"((5,), (5,))","((5,), (6,))",8
19,Halide_11,COc1ccc(Br)cc1,Methylaniline_0,Cc1ccc(N)cc1,Additive_13,CCOC(=O)c1cc(OC)no1,Base_0,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,Pd_0,O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)),Product_19,COc1ccc(Nc2ccc(C)cc2)cc1,COc1ccc(Br)cc1.Cc1ccc(N)cc1.O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)).CCOC(=O)c1cc(OC)no1.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C>>COc1ccc(Nc2ccc(C)cc2)cc1,42.52691913,"((5,), (5,))","((5,), (6,))",8
20,Halide_1,Brc1ccccn1,Methylaniline_0,Cc1ccc(N)cc1,Additive_11,c1ccc(CN(Cc2ccccc2)c2ccon2)cc1,Base_0,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,Pd_3,O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)),Product_20,Cc1ccc(Nc2ccccn2)cc1,Brc1ccccn1.Cc1ccc(N)cc1.O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)).c1ccc(CN(Cc2ccccc2)c2ccon2)cc1.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C>>Cc1ccc(Nc2ccccn2)cc1,64.57811697,"((1,), (5,))","((6,), (5,))",8
21,Halide_12,FC(F)(F)c1ccc(I)cc1,Methylaniline_0,Cc1ccc(N)cc1,Additive_14,c1ccc(CN(Cc2ccccc2)c2ccno2)cc1,Base_2,CN(C)C(=NC(C)(C)C)N(C)C,Pd_2,O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)),Product_21,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,FC(F)(F)c1ccc(I)cc1.Cc1ccc(N)cc1.O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)).c1ccc(CN(Cc2ccccc2)c2ccno2)cc1.CN(C)C(=NC(C)(C)C)N(C)C>>Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,38.18576353,"((7,), (5,))","((6,), (5,))",8
22,Halide_5,Brc1cccnc1,Methylaniline_0,Cc1ccc(N)cc1,Additive_3,CCOC(=O)c1ccon1,Base_2,CN(C)C(=NC(C)(C)C)N(C)C,Pd_2,O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)),Product_22,Cc1ccc(Nc2cccnc2)cc1,Brc1cccnc1.Cc1ccc(N)cc1.O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1c(OC)ccc(OC)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)).CCOC(=O)c1ccon1.CN(C)C(=NC(C)(C)C)N(C)C>>Cc1ccc(Nc2cccnc2)cc1,59.7949718,"((1,), (5,))","((6,), (5,))",8
23,Halide_9,CCc1ccc(Cl)cc1,Methylaniline_0,Cc1ccc(N)cc1,Additive_12,COC(=O)c1cc(-c2ccco2)on1,Base_2,CN(C)C(=NC(C)(C)C)N(C)C,Pd_3,O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)),Product_23,CCc1ccc(Nc2ccc(C)cc2)cc1,CCc1ccc(Cl)cc1.Cc1ccc(N)cc1.O=S(=O)(C(F)(F)F)(O[Pd]9(<-P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C)(<-[NH2]C8C=CC=CC=8C8C=CC=CC9=8)).COC(=O)c1cc(-c2ccco2)on1.CN(C)C(=NC(C)(C)C)N(C)C>>CCc1ccc(Nc2ccc(C)cc2)cc1,0.638545637,"((5,), (5,))","((5,), (6,))",8
