,FullCV_01_idx,FullCV_01_flag,FullCV_02_idx,FullCV_02_flag,FullCV_03_idx,FullCV_03_flag,FullCV_04_idx,FullCV_04_flag,FullCV_05_idx,FullCV_05_flag,FullCV_06_idx,FullCV_06_flag,FullCV_07_idx,FullCV_07_flag,FullCV_08_idx,FullCV_08_flag,FullCV_09_idx,FullCV_09_flag,FullCV_10_idx,FullCV_10_flag
0,0,train,3248,test,1559,train,1097,train,1142,train,3624,test,527,train,1522,train,590,train,3951,test
1,1,train,3320,test,204,train,3602,test,9,train,3565,test,2155,train,714,train,2155,train,2564,train
2,2,train,1401,train,726,train,3313,test,2552,train,1472,train,2964,test,402,train,852,train,3811,test
3,3,train,2868,test,1603,train,3324,test,1873,train,671,train,2810,test,2435,train,3664,test,798,train
4,4,train,2165,train,368,train,3176,test,3420,test,1112,train,2744,train,1188,train,3287,test,3573,test
5,5,train,342,train,2046,train,1349,train,2976,test,3046,test,3478,test,2790,test,1030,train,3503,test
6,6,train,964,train,2315,train,2447,train,497,train,2519,train,1266,train,184,train,1429,train,3546,test
7,7,train,606,train,3198,test,2465,train,1878,train,582,train,3746,test,1647,train,2147,train,2968,test
8,8,train,2546,train,3333,test,2311,train,2515,train,2374,train,1114,train,2310,train,719,train,2683,train
9,9,train,2697,train,2999,test,1661,train,2986,test,3231,test,2210,train,892,train,3237,test,312,train
10,10,train,2548,train,633,train,2120,train,3031,test,2230,train,3929,test,2173,train,3744,test,1334,train
11,11,train,1522,train,1694,train,1945,train,3917,test,749,train,2241,train,1274,train,1776,train,2692,train
12,12,train,822,train,102,train,296,train,2351,train,2931,test,3783,test,161,train,112,train,3282,test
13,13,train,3911,test,3616,test,2693,train,1014,train,1043,train,63,train,2076,train,3634,test,604,train
14,14,train,3769,test,2555,train,3237,test,1479,train,1982,train,1238,train,1118,train,2032,train,594,train
15,15,train,2972,test,3034,test,416,train,2087,train,3237,test,1694,train,560,train,3462,test,1879,train
