,Imine_name,Imine_smi,Thiol_name,Thiol_smi,Catalyst_name,Catalyst_smi,Product_name,Product_smi,rxn,Output,React_sites_I_T,Prod_sites,P_site
0,Imine_0,O=C(/N=C/c1ccc(Cl)cc1Cl)c1ccccc1,Thiol_0,Cc1ccccc1S,Catalyst_0,O=P1(O)Oc2c(-c3c(C4CCCCC4)cc(C4CCCCC4)cc3C3CCCCC3)cc3ccccc3c2-c2c(c(-c3c(C4CCCCC4)cc(C4CCCCC4)cc3C3CCCCC3)cc3ccccc23)O1,Product_Imine_0_Thiol_0,Cc1ccccc1S/C(=N\C(=O)c1ccccc1)c1ccc(Cl)cc1Cl,O=C(/N=C/c1ccc(Cl)cc1Cl)c1ccccc1.Cc1ccccc1S.O=P1(O)Oc2c(-c3c(C4CCCCC4)cc(C4CCCCC4)cc3C3CCCCC3)cc3ccccc3c2-c2c(c(-c3c(C4CCCCC4)cc(C4CCCCC4)cc3C3CCCCC3)cc3ccccc23)O1>>Cc1ccccc1S/C(=N\C(=O)c1ccccc1)c1ccc(Cl)cc1Cl,3.134624572,"((3,), (7,))","((8,), (7,))",1
1,Imine_1,COc1ccc(/C=N/C(=O)c2ccccc2)cc1,Thiol_1,COc1ccc(S)cc1,Catalyst_1,Cc1cc(C)c(-c2cc(-c3cc4c(c5c3OP(=O)(O)Oc3c(-c6cc(-c7c(C)cc(C)cc7C)cc(-c7c(C)cc(C)cc7C)c6)cc6c(c3-5)CCCC6)CCCC4)cc(-c3c(C)cc(C)cc3C)c2)c(C)c1,Product_Imine_1_Thiol_1,COc1ccc(S/C(=N\C(=O)c2ccccc2)c2ccc(OC)cc2)cc1,COc1ccc(/C=N/C(=O)c2ccccc2)cc1.COc1ccc(S)cc1.Cc1cc(C)c(-c2cc(-c3cc4c(c5c3OP(=O)(O)Oc3c(-c6cc(-c7c(C)cc(C)cc7C)cc(-c7c(C)cc(C)cc7C)c6)cc6c(c3-5)CCCC6)CCCC4)cc(-c3c(C)cc(C)cc3C)c2)c(C)c1>>COc1ccc(S/C(=N\C(=O)c2ccccc2)c2ccc(OC)cc2)cc1,1.531802956,"((6,), (6,))","((7,), (6,))",16
2,Imine_0,O=C(/N=C/c1ccc(Cl)cc1Cl)c1ccccc1,Thiol_2,Sc1ccccc1,Catalyst_2,COc1ccc(-c2cc3ccccc3c3c2OP(=O)(O)Oc2c(-c4ccc(OC)cc4)cc4ccccc4c2-3)cc1,Product_Imine_0_Thiol_2,O=C(/N=C(\Sc1ccccc1)c1ccc(Cl)cc1Cl)c1ccccc1,O=C(/N=C/c1ccc(Cl)cc1Cl)c1ccccc1.Sc1ccccc1.COc1ccc(-c2cc3ccccc3c3c2OP(=O)(O)Oc2c(-c4ccc(OC)cc4)cc4ccccc4c2-3)cc1>>O=C(/N=C(\Sc1ccccc1)c1ccc(Cl)cc1Cl)c1ccccc1,1.074990526,"((3,), (0,))","((3,), (4,))",17
3,Imine_1,COc1ccc(/C=N/C(=O)c2ccccc2)cc1,Thiol_0,Cc1ccccc1S,Catalyst_3,O=P1(O)Oc2c(-c3c(Cl)cc(Cl)cc3Cl)cc3c(c2-c2c4c(cc(-c5c(Cl)cc(Cl)cc5Cl)c2O1)CCCC4)CCCC3,Product_Imine_1_Thiol_0,COc1ccc(/C(=N/C(=O)c2ccccc2)Sc2ccccc2C)cc1,COc1ccc(/C=N/C(=O)c2ccccc2)cc1.Cc1ccccc1S.O=P1(O)Oc2c(-c3c(Cl)cc(Cl)cc3Cl)cc3c(c2-c2c4c(cc(-c5c(Cl)cc(Cl)cc5Cl)c2O1)CCCC4)CCCC3>>COc1ccc(/C(=N/C(=O)c2ccccc2)Sc2ccccc2C)cc1,1.334823138,"((6,), (7,))","((6,), (16,))",1
4,Imine_2,O=C(/N=C/c1cccc2ccccc12)c1ccccc1,Thiol_2,Sc1ccccc1,Catalyst_4,O=P1(O)Oc2c(-c3ccc4ccc5cccc6ccc3c4c56)cc3ccccc3c2-c2c(c(-c3ccc4ccc5cccc6ccc3c4c56)cc3ccccc23)O1,Product_Imine_2_Thiol_2,O=C(/N=C(\Sc1ccccc1)c1cccc2ccccc12)c1ccccc1,O=C(/N=C/c1cccc2ccccc12)c1ccccc1.Sc1ccccc1.O=P1(O)Oc2c(-c3ccc4ccc5cccc6ccc3c4c56)cc3ccccc3c2-c2c(c(-c3ccc4ccc5cccc6ccc3c4c56)cc3ccccc23)O1>>O=C(/N=C(\Sc1ccccc1)c1cccc2ccccc12)c1ccccc1,1.743657522,"((3,), (0,))","((3,), (4,))",1
5,Imine_1,COc1ccc(/C=N/C(=O)c2ccccc2)cc1,Thiol_2,Sc1ccccc1,Catalyst_5,COCc1cccc(-c2cc3c(c4c2OP(=O)(O)Oc2c(-c5cccc(COC)c5)cc5c(c2-4)CCCC5)CCCC3)c1,Product_Imine_1_Thiol_2,COc1ccc(/C(=N/C(=O)c2ccccc2)Sc2ccccc2)cc1,COc1ccc(/C=N/C(=O)c2ccccc2)cc1.Sc1ccccc1.COCc1cccc(-c2cc3c(c4c2OP(=O)(O)Oc2c(-c5cccc(COC)c5)cc5c(c2-4)CCCC5)CCCC3)c1>>COc1ccc(/C(=N/C(=O)c2ccccc2)Sc2ccccc2)cc1,1.370103771,"((6,), (0,))","((6,), (16,))",15
6,Imine_2,O=C(/N=C/c1cccc2ccccc12)c1ccccc1,Thiol_3,CCS,Catalyst_6,O=P1(O)Oc2c(-c3ccc(-c4cc(C(F)(F)F)cc(C(F)(F)F)c4)cc3)cc3ccccc3c2-c2c(c(-c3ccc(-c4cc(C(F)(F)F)cc(C(F)(F)F)c4)cc3)cc3ccccc23)O1,Product_Imine_2_Thiol_3,CCS/C(=N\C(=O)c1ccccc1)c1cccc2ccccc12,O=C(/N=C/c1cccc2ccccc12)c1ccccc1.CCS.O=P1(O)Oc2c(-c3ccc(-c4cc(C(F)(F)F)cc(C(F)(F)F)c4)cc3)cc3ccccc3c2-c2c(c(-c3ccc(-c4cc(C(F)(F)F)cc(C(F)(F)F)c4)cc3)cc3ccccc23)O1>>CCS/C(=N\C(=O)c1ccccc1)c1cccc2ccccc12,0.5302345,"((3,), (2,))","((3,), (2,))",1
7,Imine_3,O=C(/N=C/c1ccc(C(F)(F)F)cc1)c1ccccc1,Thiol_2,Sc1ccccc1,Catalyst_7,CC(C)(C)c1cc(-c2cc3c(c4c2OP(=O)(O)Oc2c(-c5cc(C(C)(C)C)cc(C(C)(C)C)c5)cc5c(c2-4)CCCC5)CCCC3)cc(C(C)(C)C)c1,Product_Imine_3_Thiol_2,O=C(/N=C(\Sc1ccccc1)c1ccc(C(F)(F)F)cc1)c1ccccc1,O=C(/N=C/c1ccc(C(F)(F)F)cc1)c1ccccc1.Sc1ccccc1.CC(C)(C)c1cc(-c2cc3c(c4c2OP(=O)(O)Oc2c(-c5cc(C(C)(C)C)cc(C(C)(C)C)c5)cc5c(c2-4)CCCC5)CCCC3)cc(C(C)(C)C)c1>>O=C(/N=C(\Sc1ccccc1)c1ccc(C(F)(F)F)cc1)c1ccccc1,1.301167112,"((3,), (0,))","((3,), (4,))",14
8,Imine_4,O=C(/N=C/c1ccccc1)c1ccccc1,Thiol_0,Cc1ccccc1S,Catalyst_8,CC(C)c1cc(-c2ccc(C(C)(C)C)cc2)cc(C(C)C)c1-c1cc2ccccc2c2c1OP(=O)(O)Oc1c(-c3c(C(C)C)cc(-c4ccc(C(C)(C)C)cc4)cc3C(C)C)cc3ccccc3c1-2,Product_Imine_4_Thiol_0,Cc1ccccc1S/C(=N\C(=O)c1ccccc1)c1ccccc1,O=C(/N=C/c1ccccc1)c1ccccc1.Cc1ccccc1S.CC(C)c1cc(-c2ccc(C(C)(C)C)cc2)cc(C(C)C)c1-c1cc2ccccc2c2c1OP(=O)(O)Oc1c(-c3c(C(C)C)cc(-c4ccc(C(C)(C)C)cc4)cc3C(C)C)cc3ccccc3c1-2>>Cc1ccccc1S/C(=N\C(=O)c1ccccc1)c1ccccc1,2.304684113,"((3,), (7,))","((8,), (7,))",33
9,Imine_4,O=C(/N=C/c1ccccc1)c1ccccc1,Thiol_1,COc1ccc(S)cc1,Catalyst_8,CC(C)c1cc(-c2ccc(C(C)(C)C)cc2)cc(C(C)C)c1-c1cc2ccccc2c2c1OP(=O)(O)Oc1c(-c3c(C(C)C)cc(-c4ccc(C(C)(C)C)cc4)cc3C(C)C)cc3ccccc3c1-2,Product_Imine_4_Thiol_1,COc1ccc(S/C(=N\C(=O)c2ccccc2)c2ccccc2)cc1,O=C(/N=C/c1ccccc1)c1ccccc1.COc1ccc(S)cc1.CC(C)c1cc(-c2ccc(C(C)(C)C)cc2)cc(C(C)C)c1-c1cc2ccccc2c2c1OP(=O)(O)Oc1c(-c3c(C(C)C)cc(-c4ccc(C(C)(C)C)cc4)cc3C(C)C)cc3ccccc3c1-2>>COc1ccc(S/C(=N\C(=O)c2ccccc2)c2ccccc2)cc1,2.721168735,"((3,), (6,))","((7,), (6,))",33
