,Arene_name,Arene_smi,Radical_name,Radical_smi,Product_name,Product_smi,rxn,Output,React_sites_Ar_R,Prod_sites
0,Arene_0,FC(F)(F)c1ccco1,Radical_0,C[C](C)C#N,Product-Ar0-R0-P0,CC(C)(C#N)c1ccc(C(F)(F)F)o1,FC(F)(F)c1ccco1.C[C](C)C#N>>CC(C)(C#N)c1ccc(C(F)(F)F)o1,19.2,"((7,), (1,))","((5,), (1,))"
1,Arene_0,FC(F)(F)c1ccco1,Radical_0,C[C](C)C#N,Product-Ar0-R0-P1,CC(C)(C#N)c1coc(C(F)(F)F)c1,FC(F)(F)c1ccco1.C[C](C)C#N>>CC(C)(C#N)c1coc(C(F)(F)F)c1,25.4,"((6,), (1,))","((5,), (1,))"
2,Arene_0,FC(F)(F)c1ccco1,Radical_0,C[C](C)C#N,Product-Ar0-R0-P2,CC(C)(C#N)c1ccoc1C(F)(F)F,FC(F)(F)c1ccco1.C[C](C)C#N>>CC(C)(C#N)c1ccoc1C(F)(F)F,24.4,"((5,), (1,))","((5,), (1,))"
3,Arene_1,CC(C)(C)c1ccco1,Radical_0,C[C](C)C#N,Product-Ar1-R0-P3,CC(C)(C)c1ccc(C(C)(C)C#N)o1,CC(C)(C)c1ccco1.C[C](C)C#N>>CC(C)(C)c1ccc(C(C)(C)C#N)o1,18.2,"((7,), (1,))","((7,), (8,))"
4,Arene_1,CC(C)(C)c1ccco1,Radical_0,C[C](C)C#N,Product-Ar1-R0-P4,CC(C)(C)c1cc(C(C)(C)C#N)co1,CC(C)(C)c1ccco1.C[C](C)C#N>>CC(C)(C)c1cc(C(C)(C)C#N)co1,23.7,"((6,), (1,))","((6,), (7,))"
5,Arene_1,CC(C)(C)c1ccco1,Radical_0,C[C](C)C#N,Product-Ar1-R0-P5,CC(C)(C)c1occc1C(C)(C)C#N,CC(C)(C)c1ccco1.C[C](C)C#N>>CC(C)(C)c1occc1C(C)(C)C#N,26.3,"((5,), (1,))","((8,), (9,))"
6,Arene_2,FC(F)(F)c1ccoc1,Radical_0,C[C](C)C#N,Product-Ar2-R0-P6,CC(C)(C#N)c1cc(C(F)(F)F)co1,FC(F)(F)c1ccoc1.C[C](C)C#N>>CC(C)(C#N)c1cc(C(F)(F)F)co1,19.7,"((6,), (1,))","((5,), (1,))"
7,Arene_2,FC(F)(F)c1ccoc1,Radical_0,C[C](C)C#N,Product-Ar2-R0-P7,CC(C)(C#N)c1cocc1C(F)(F)F,FC(F)(F)c1ccoc1.C[C](C)C#N>>CC(C)(C#N)c1cocc1C(F)(F)F,26.1,"((5,), (1,))","((5,), (1,))"
8,Arene_2,FC(F)(F)c1ccoc1,Radical_0,C[C](C)C#N,Product-Ar2-R0-P8,CC(C)(C#N)c1occc1C(F)(F)F,FC(F)(F)c1ccoc1.C[C](C)C#N>>CC(C)(C#N)c1occc1C(F)(F)F,18.9,"((8,), (1,))","((5,), (1,))"
9,Arene_3,CC(C)(C)c1ccoc1,Radical_0,C[C](C)C#N,Product-Ar3-R0-P9,CC(C)(C)c1coc(C(C)(C)C#N)c1,CC(C)(C)c1ccoc1.C[C](C)C#N>>CC(C)(C)c1coc(C(C)(C)C#N)c1,17.7,"((6,), (1,))","((7,), (8,))"
10,Arene_3,CC(C)(C)c1ccoc1,Radical_0,C[C](C)C#N,Product-Ar3-R0-P10,CC(C)(C)c1cocc1C(C)(C)C#N,CC(C)(C)c1ccoc1.C[C](C)C#N>>CC(C)(C)c1cocc1C(C)(C)C#N,27.8,"((5,), (1,))","((8,), (9,))"
11,Arene_3,CC(C)(C)c1ccoc1,Radical_0,C[C](C)C#N,Product-Ar3-R0-P11,CC(C)(C)c1ccoc1C(C)(C)C#N,CC(C)(C)c1ccoc1.C[C](C)C#N>>CC(C)(C)c1ccoc1C(C)(C)C#N,20.0,"((8,), (1,))","((8,), (9,))"
12,Arene_4,FC(F)(F)c1ccc[nH]1,Radical_0,C[C](C)C#N,Product-Ar4-R0-P12,CC(C)(C#N)c1ccc(C(F)(F)F)[nH]1,FC(F)(F)c1ccc[nH]1.C[C](C)C#N>>CC(C)(C#N)c1ccc(C(F)(F)F)[nH]1,23.3,"((7,), (1,))","((5,), (1,))"
13,Arene_4,FC(F)(F)c1ccc[nH]1,Radical_0,C[C](C)C#N,Product-Ar4-R0-P13,CC(C)(C#N)c1c[nH]c(C(F)(F)F)c1,FC(F)(F)c1ccc[nH]1.C[C](C)C#N>>CC(C)(C#N)c1c[nH]c(C(F)(F)F)c1,27.5,"((6,), (1,))","((5,), (1,))"
14,Arene_4,FC(F)(F)c1ccc[nH]1,Radical_0,C[C](C)C#N,Product-Ar4-R0-P14,CC(C)(C#N)c1cc[nH]c1C(F)(F)F,FC(F)(F)c1ccc[nH]1.C[C](C)C#N>>CC(C)(C#N)c1cc[nH]c1C(F)(F)F,26.5,"((5,), (1,))","((5,), (1,))"
15,Arene_5,CC(C)(C)c1ccc[nH]1,Radical_0,C[C](C)C#N,Product-Ar5-R0-P15,CC(C)(C)c1ccc(C(C)(C)C#N)[nH]1,CC(C)(C)c1ccc[nH]1.C[C](C)C#N>>CC(C)(C)c1ccc(C(C)(C)C#N)[nH]1,19.7,"((7,), (1,))","((7,), (8,))"
16,Arene_5,CC(C)(C)c1ccc[nH]1,Radical_0,C[C](C)C#N,Product-Ar5-R0-P16,CC(C)(C)c1cc(C(C)(C)C#N)c[nH]1,CC(C)(C)c1ccc[nH]1.C[C](C)C#N>>CC(C)(C)c1cc(C(C)(C)C#N)c[nH]1,24.0,"((6,), (1,))","((6,), (7,))"
17,Arene_5,CC(C)(C)c1ccc[nH]1,Radical_0,C[C](C)C#N,Product-Ar5-R0-P17,CC(C)(C)c1[nH]ccc1C(C)(C)C#N,CC(C)(C)c1ccc[nH]1.C[C](C)C#N>>CC(C)(C)c1[nH]ccc1C(C)(C)C#N,27.4,"((5,), (1,))","((8,), (9,))"
18,Arene_6,FC(F)(F)c1cc[nH]c1,Radical_0,C[C](C)C#N,Product-Ar6-R0-P18,CC(C)(C#N)c1cc(C(F)(F)F)c[nH]1,FC(F)(F)c1cc[nH]c1.C[C](C)C#N>>CC(C)(C#N)c1cc(C(F)(F)F)c[nH]1,22.5,"((6,), (1,))","((5,), (1,))"
19,Arene_6,FC(F)(F)c1cc[nH]c1,Radical_0,C[C](C)C#N,Product-Ar6-R0-P19,CC(C)(C#N)c1c[nH]cc1C(F)(F)F,FC(F)(F)c1cc[nH]c1.C[C](C)C#N>>CC(C)(C#N)c1c[nH]cc1C(F)(F)F,26.6,"((5,), (1,))","((5,), (1,))"
20,Arene_6,FC(F)(F)c1cc[nH]c1,Radical_0,C[C](C)C#N,Product-Ar6-R0-P20,CC(C)(C#N)c1[nH]ccc1C(F)(F)F,FC(F)(F)c1cc[nH]c1.C[C](C)C#N>>CC(C)(C#N)c1[nH]ccc1C(F)(F)F,22.2,"((8,), (1,))","((5,), (1,))"
21,Arene_7,CC(C)(C)c1cc[nH]c1,Radical_0,C[C](C)C#N,Product-Ar7-R0-P21,CC(C)(C)c1c[nH]c(C(C)(C)C#N)c1,CC(C)(C)c1cc[nH]c1.C[C](C)C#N>>CC(C)(C)c1c[nH]c(C(C)(C)C#N)c1,20.5,"((6,), (1,))","((7,), (8,))"
22,Arene_7,CC(C)(C)c1cc[nH]c1,Radical_0,C[C](C)C#N,Product-Ar7-R0-P22,CC(C)(C)c1c[nH]cc1C(C)(C)C#N,CC(C)(C)c1cc[nH]c1.C[C](C)C#N>>CC(C)(C)c1c[nH]cc1C(C)(C)C#N,28.3,"((5,), (1,))","((8,), (9,))"
23,Arene_7,CC(C)(C)c1cc[nH]c1,Radical_0,C[C](C)C#N,Product-Ar7-R0-P23,CC(C)(C)c1cc[nH]c1C(C)(C)C#N,CC(C)(C)c1cc[nH]c1.C[C](C)C#N>>CC(C)(C)c1cc[nH]c1C(C)(C)C#N,22.9,"((8,), (1,))","((8,), (9,))"
24,Arene_8,FC(F)(F)c1cccs1,Radical_0,C[C](C)C#N,Product-Ar8-R0-P24,CC(C)(C#N)c1ccc(C(F)(F)F)s1,FC(F)(F)c1cccs1.C[C](C)C#N>>CC(C)(C#N)c1ccc(C(F)(F)F)s1,20.9,"((7,), (1,))","((5,), (1,))"
25,Arene_8,FC(F)(F)c1cccs1,Radical_0,C[C](C)C#N,Product-Ar8-R0-P25,CC(C)(C#N)c1csc(C(F)(F)F)c1,FC(F)(F)c1cccs1.C[C](C)C#N>>CC(C)(C#N)c1csc(C(F)(F)F)c1,24.9,"((6,), (1,))","((5,), (1,))"
26,Arene_8,FC(F)(F)c1cccs1,Radical_0,C[C](C)C#N,Product-Ar8-R0-P26,CC(C)(C#N)c1ccsc1C(F)(F)F,FC(F)(F)c1cccs1.C[C](C)C#N>>CC(C)(C#N)c1ccsc1C(F)(F)F,24.2,"((5,), (1,))","((5,), (1,))"
27,Arene_9,CC(C)(C)c1cccs1,Radical_0,C[C](C)C#N,Product-Ar9-R0-P27,CC(C)(C)c1ccc(C(C)(C)C#N)s1,CC(C)(C)c1cccs1.C[C](C)C#N>>CC(C)(C)c1ccc(C(C)(C)C#N)s1,20.2,"((7,), (1,))","((7,), (8,))"
28,Arene_9,CC(C)(C)c1cccs1,Radical_0,C[C](C)C#N,Product-Ar9-R0-P28,CC(C)(C)c1cc(C(C)(C)C#N)cs1,CC(C)(C)c1cccs1.C[C](C)C#N>>CC(C)(C)c1cc(C(C)(C)C#N)cs1,23.2,"((6,), (1,))","((6,), (7,))"
29,Arene_9,CC(C)(C)c1cccs1,Radical_0,C[C](C)C#N,Product-Ar9-R0-P29,CC(C)(C)c1sccc1C(C)(C)C#N,CC(C)(C)c1cccs1.C[C](C)C#N>>CC(C)(C)c1sccc1C(C)(C)C#N,26.7,"((5,), (1,))","((8,), (9,))"
30,Arene_10,FC(F)(F)c1ccsc1,Radical_0,C[C](C)C#N,Product-Ar10-R0-P30,CC(C)(C#N)c1cc(C(F)(F)F)cs1,FC(F)(F)c1ccsc1.C[C](C)C#N>>CC(C)(C#N)c1cc(C(F)(F)F)cs1,21.4,"((6,), (1,))","((5,), (1,))"
31,Arene_10,FC(F)(F)c1ccsc1,Radical_0,C[C](C)C#N,Product-Ar10-R0-P31,CC(C)(C#N)c1cscc1C(F)(F)F,FC(F)(F)c1ccsc1.C[C](C)C#N>>CC(C)(C#N)c1cscc1C(F)(F)F,25.9,"((5,), (1,))","((5,), (1,))"
32,Arene_10,FC(F)(F)c1ccsc1,Radical_0,C[C](C)C#N,Product-Ar10-R0-P32,CC(C)(C#N)c1sccc1C(F)(F)F,FC(F)(F)c1ccsc1.C[C](C)C#N>>CC(C)(C#N)c1sccc1C(F)(F)F,21.2,"((8,), (1,))","((5,), (1,))"
