,Reactant1_name,Reactant1_smi,Reactant2_name,Reactant2_smi,Base_name,Base_smi,Solvent_name,Solvent_smi,Pd_catalyst_name,Pd_catalyst_smi,Product_name,Product_smi,rxn,Output,React_sites_R1_R2,Prod_sites,Pd_site
0,Reactant1_0,CCc1cccc(CC)c1.Clc1ccc2ncccc2c1,Reactant2_0,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Base_0,O[Na],Solvent_0,CC#N,Pd_0,CC(C)(C)P(->[Pd])(C(C)(C)C)C(C)(C)C,Product_0,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,CCc1cccc(CC)c1.Clc1ccc2ncccc2c1.Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O.CC(C)(C)P(->[Pd])(C(C)(C)C)C(C)(C)C.O[Na].CC#N>>Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,0.047641092184596195,"((11,), (15,))","((16,), (15,))",5
1,Reactant1_0,CCc1cccc(CC)c1.Clc1ccc2ncccc2c1,Reactant2_0,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Base_0,O[Na],Solvent_0,CC#N,Pd_1,[Pd]<-P(c1ccccc1)(c1ccccc1)c1ccccc1,Product_0,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,CCc1cccc(CC)c1.Clc1ccc2ncccc2c1.Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O.[Pd]<-P(c1ccccc1)(c1ccccc1)c1ccccc1.O[Na].CC#N>>Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,0.0412096203597114,"((11,), (15,))","((16,), (15,))",0
2,Reactant1_0,CCc1cccc(CC)c1.Clc1ccc2ncccc2c1,Reactant2_0,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Base_0,O[Na],Solvent_0,CC#N,Pd_2,CN(C)c1ccc(P(->[Pd])(C(C)(C)C)C(C)(C)C)cc1,Product_0,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,CCc1cccc(CC)c1.Clc1ccc2ncccc2c1.Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O.CN(C)c1ccc(P(->[Pd])(C(C)(C)C)C(C)(C)C)cc1.O[Na].CC#N>>Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,0.0258383665286105,"((11,), (15,))","((16,), (15,))",8
3,Reactant1_0,CCc1cccc(CC)c1.Clc1ccc2ncccc2c1,Reactant2_0,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Base_0,O[Na],Solvent_0,CC#N,Pd_3,[Pd]<-P(C1CCCCC1)(C1CCCCC1)C1CCCCC1,Product_0,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,CCc1cccc(CC)c1.Clc1ccc2ncccc2c1.Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O.[Pd]<-P(C1CCCCC1)(C1CCCCC1)C1CCCCC1.O[Na].CC#N>>Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,0.0444317065372505,"((11,), (15,))","((16,), (15,))",0
4,Reactant1_0,CCc1cccc(CC)c1.Clc1ccc2ncccc2c1,Reactant2_0,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Base_0,O[Na],Solvent_0,CC#N,Pd_4,Cc1ccccc1P(->[Pd])(c1ccccc1C)c1ccccc1C,Product_0,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,CCc1cccc(CC)c1.Clc1ccc2ncccc2c1.Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O.Cc1ccccc1P(->[Pd])(c1ccccc1C)c1ccccc1C.O[Na].CC#N>>Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,0.0194987400815928,"((11,), (15,))","((16,), (15,))",8
5,Reactant1_0,CCc1cccc(CC)c1.Clc1ccc2ncccc2c1,Reactant2_0,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Base_0,O[Na],Solvent_0,CC#N,Pd_5,CCCCP(->[Pd])(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2,Product_0,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,CCc1cccc(CC)c1.Clc1ccc2ncccc2c1.Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O.CCCCP(->[Pd])(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2.O[Na].CC#N>>Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,0.0325080927899943,"((11,), (15,))","((16,), (15,))",5
6,Reactant1_0,CCc1cccc(CC)c1.Clc1ccc2ncccc2c1,Reactant2_0,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Base_0,O[Na],Solvent_0,CC#N,Pd_6,COc1cccc(OC)c1-c1ccccc1P(->[Pd])(C1CCCCC1)C1CCCCC1,Product_0,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,CCc1cccc(CC)c1.Clc1ccc2ncccc2c1.Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O.COc1cccc(OC)c1-c1ccccc1P(->[Pd])(C1CCCCC1)C1CCCCC1.O[Na].CC#N>>Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,0.862621224841378,"((11,), (15,))","((16,), (15,))",17
7,Reactant1_0,CCc1cccc(CC)c1.Clc1ccc2ncccc2c1,Reactant2_0,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Base_0,O[Na],Solvent_0,CC#N,Pd_7,CC(C)(C)P1(C(C)(C)C)->[Pd]<-P(C(C)(C)C)(C(C)(C)C)C23C4C5C6C2[Fe]56432789C3C2C7C18C39,Product_0,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,CCc1cccc(CC)c1.Clc1ccc2ncccc2c1.Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O.CC(C)(C)P1(C(C)(C)C)->[Pd]<-P(C(C)(C)C)(C(C)(C)C)C23C4C5C6C2[Fe]56432789C3C2C7C18C39.O[Na].CC#N>>Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,0.07546079873445011,"((11,), (15,))","((16,), (15,))",9
8,Reactant1_0,CCc1cccc(CC)c1.Clc1ccc2ncccc2c1,Reactant2_0,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Base_0,O[Na],Solvent_0,CC#N,Pd_8,CC(C)c1cc(C(C)C)c(-c2ccccc2P(->[Pd])(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,Product_0,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,CCc1cccc(CC)c1.Clc1ccc2ncccc2c1.Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O.CC(C)c1cc(C(C)C)c(-c2ccccc2P(->[Pd])(C2CCCCC2)C2CCCCC2)c(C(C)C)c1.O[Na].CC#N>>Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,0.936745145376158,"((11,), (15,))","((16,), (15,))",17
9,Reactant1_0,CCc1cccc(CC)c1.Clc1ccc2ncccc2c1,Reactant2_0,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Base_0,O[Na],Solvent_0,CC#N,Pd_9,c1ccc(P2(c3ccccc3)->[Pd]<-P(c3ccccc3)(c3ccccc3)C34C5C6C7C3[Fe]6754389%10C4C3C8C29C4%10)cc1,Product_0,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,CCc1cccc(CC)c1.Clc1ccc2ncccc2c1.Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O.c1ccc(P2(c3ccccc3)->[Pd]<-P(c3ccccc3)(c3ccccc3)C34C5C6C7C3[Fe]6754389%10C4C3C8C29C4%10)cc1.O[Na].CC#N>>Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,0.143214354734956,"((11,), (15,))","((16,), (15,))",11
